phrase,label,category
brake malfunction,ACCIDENT_TERM,accident_description
tyre burst,ACCIDENT_TERM,accident_description
collision at intersection,ACCIDENT_TERM,accident_description
intersection crash,ACCIDENT_TERM,accident_description
chain collision,ACCIDENT_TERM,accident_description
third-party claim,CLAIM_TERM,insurance_jargon
claim settlement,CLAIM_TERM,insurance_jargon
premium loading,CLAIM_TERM,insurance_jargon
policyholder,CLAIM_TERM,insurance_jargon
write-off,CLAIM_TERM,insurance_jargon
excess payment,CLAIM_TERM,insurance_jargon
loss adjuster,CLAIM_TERM,insurance_jargon
fraudulent claim,CLAIM_TERM,insurance_jargon
insurance assessor,CLAIM_TERM,insurance_jargon
claim rejection,CLAIM_TERM,insurance_jargon
claim approval,CLAIM_TERM,insurance_jargon
insured vehicle,CLAIM_TERM,insurance_jargon
underwriting,CLAIM_TERM,insurance_jargon
risk profile,CLAIM_TERM,insurance_jargon
claim history,CLAIM_TERM,insurance_jargon
policy lapse,CLAIM_TERM,insurance_jargon
comprehensive cover,CLAIM_TERM,insurance_jargon
third-party insurance,CLAIM_TERM,insurance_jargon
claim notification,CLAIM_TERM,insurance_jargon
claim investigation,CLAIM_TERM,insurance_jargon
repair quotation,CLAIM_TERM,insurance_jargon
vehicle valuation,CLAIM_TERM,insurance_jargon
claim payout,CLAIM_TERM,insurance_jargon
accident benefit,CLAIM_TERM,insurance_jargon
claim form,CLAIM_TERM,insurance_jargon
insurance excess,CLAIM_TERM,insurance_jargon
serious injury,INJURY,injury_severity
minor injuries,INJURY,injury_severity
fatal injuries,INJURY,injury_severity
multiple fractures,INJURY,injury_severity
head injuries,INJURY,injury_severity
soft tissue injuries,INJURY,injury_severity
hospitalized,INJURY,injury_severity
deceased at scene,INJURY,injury_severity
passenger injured,INJURY,injury_severity
driver injured,INJURY,injury_severity
pedestrian injured,INJURY,injury_severity
critical condition,INJURY,injury_severity
medical attention required,INJURY,injury_severity
no injuries reported,INJURY,injury_severity
traffic lights,TRAFFIC_TERM,traffic_context
stop sign,TRAFFIC_TERM,traffic_context
zebra crossing,TRAFFIC_TERM,traffic_context
roadblock,TRAFFIC_TERM,traffic_context
police report,TRAFFIC_TERM,traffic_context
traffic violation,TRAFFIC_TERM,traffic_context
speed limit,TRAFFIC_TERM,traffic_context
driving licence,TRAFFIC_TERM,traffic_context
vehicle inspection,TRAFFIC_TERM,traffic_context
unroadworthy vehicle,TRAFFIC_TERM,traffic_context
road traffic act,TRAFFIC_TERM,traffic_context
traffic congestion,TRAFFIC_TERM,traffic_context
traffic offense,TRAFFIC_TERM,traffic_context
driving under influence,TRAFFIC_TERM,traffic_context
DUI,TRAFFIC_TERM,traffic_context
